Код;Основное средство;Код УКТ ЗЕД;Вид кода;Сумма;Рекомендуємий_УКТ_ЗЕД;Пояснення_ІІ
ЦДУ-01418;Ящик електроуправління Я5128-2474-54УЗ.1 с комплект №5;;;1 001,46;;
ЦДУ-01419;Ящик електроуправління Я5128-2474-54УЗ.1 с комплект №6;;;1 001,46;;
ЦДУ-01420;Ящик електроуправління Я5128-2474-54УЗ.1 с комплект №7;;;1 001,46;;
ЦДУ-01421;Ящик електроуправління Я5128-2474-54УЗ.1 с комплект №8;;;1 001,46;;
ЦДУ-01422;Ящик електроуправління Я5130-3074-54УЗ с комплектую №1;;;524,79;;
ЦДУ-01423;Ящик електроуправління Я5130-3074-54УЗ с комплектую №2;;;524,79;;
ЦДУ-00124;Автонавантажувач HYSTER S120 XLS,№D004V06118 P;;;113 636,48;;
ЦДУ-00125;Автонавантажувач STL700 (Auto loader: STL700);;;0,01;;
ЦДУ-00126;Автонавантажувач TOYOTA , 1500 кг;;;42 559,58;;
